run_id,seed,method,logical_time_s,phase,application_demand_mbps,actual_throughput_mbps,network_capacity_mbps,physical_capacity_mbps,latency_ms,qos_satisfied,failure_detected,action_selected,activated,recovered
compound:seed=5:method=network_only,5,network_only,2.0,DEMAND_INCREASE,14.0625,14.0625,25.3125,25.3125,10.0,True,False,,False,False
compound:seed=5:method=network_only,5,network_only,4.0,NETWORK_UTILIZATION_RISE,14.0625,14.0625,15.468750000000002,25.3125,10.0,True,False,,False,False
compound:seed=5:method=network_only,5,network_only,6.0,PHYSICAL_CAPACITY_DROP,14.0625,4.5,15.468750000000002,4.5,38.6875,False,False,,False,False
compound:seed=5:method=network_only,5,network_only,8.0,ROUTE_DEGRADED,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_ROUTE,False,False
compound:seed=5:method=network_only,5,network_only,8.2,RECOVERY_DECISION,14.0625,4.5,9.140625,4.5,38.6875,False,True,KEEP_ROUTE,False,False
compound:seed=5:method=network_only,5,network_only,8.4,ACTIVATION_RESULT,11.25,0.0,15.468750000000002,4.5,43.75,False,True,KEEP_ROUTE,False,False
compound:seed=5:method=network_only,5,network_only,8.6,STABLE_HEALTH_WINDOW,11.25,0.0,15.468750000000002,4.5,43.75,False,True,KEEP_ROUTE,False,False
compound:seed=6:method=proposed,6,proposed,0.0,STABLE,18.0,18.0,40.5,40.5,10.0,True,False,,False,False
compound:seed=6:method=proposed,6,proposed,2.0,DEMAND_INCREASE,22.5,22.5,40.5,40.5,10.0,True,False,,False,False
compound:seed=6:method=proposed,6,proposed,4.0,NETWORK_UTILIZATION_RISE,22.5,22.5,24.750000000000004,40.5,10.0,True,False,,False,False
compound:seed=6:method=proposed,6,proposed,6.0,PHYSICAL_CAPACITY_DROP,22.5,7.2,24.750000000000004,7.2,55.900000000000006,False,False,,False,False
compound:seed=6:method=proposed,6,proposed,8.0,ROUTE_DEGRADED,22.5,7.2,14.625,7.2,55.900000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=6:method=proposed,6,proposed,8.2,RECOVERY_DECISION,22.5,7.2,14.625,7.2,55.900000000000006,False,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,False,False
compound:seed=6:method=proposed,6,proposed,8.4,ACTIVATION_RESULT,18.0,18.0,24.750000000000004,18.0,10.0,True,True,KEEP_QUALITY;REBIND_SESSION;KEEP_ROUTE;SWITCH_ACCESS,True,False
