run_id,seed,task_id,result_mode,verification_backend,real_ping_verification,real_iperf3_verification,num_agents,num_edges,num_gateways,cross_gateway_edge_ratio,version,success,failure_reason,control_plane_latency_ms,legacy_controller_compute_ms,formation_latency_ms,formation_latency_s,mapping_latency_ms,binding_latency_ms,feasibility_latency_ms,cross_layer_coordination_latency_ms,compile_latency_ms,transaction_planning_latency_ms,compilation_and_planning_latency_ms,installation_latency_ms,activation_latency_ms,verification_latency_ms,verifier_runtime_ms,session_count,rule_count,control_messages,control_bytes,rollback_triggered,rollback_success,t_task_received,t_mapping_finished,t_layer_binding_finished,t_feasibility_finished,t_compile_finished,t_stage_started,t_stage_finished,t_staged_verify_finished,t_activate_finished,t_stable_verify_finished
agents=20:seed=4,4,exp3-seed-0004,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,3.991406410932541,3.7636682391166687,21.253712475299835,0.021253712475299835,0.3810562193393707,2.51978263258934,0.25963783264160156,2.7794204652309418,0.6031915545463562,0.2277381718158722,0.8309297263622284,12.806233018636703,0.8840449154376984,3.5720281302928925,3.552451729774475,30,51,32,104554,False,False,21364345.20932026,21364345.209701315,21364345.212221097,21364345.212480735,21364345.213083927,21364345.213311665,21364345.226117898,21364345.228186097,21364345.229077503,21364345.23057397
agents=20:seed=5,5,exp3-seed-0005,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.029788076877594,3.8008131086826324,22.187530994415283,0.022187530994415283,0.3843344748020172,2.5211498141288757,0.25884807109832764,2.7799978852272034,0.6364807486534119,0.22897496819496155,0.8654557168483734,13.597574084997177,0.9144283831119537,3.6457404494285583,3.6265477538108826,30,54,32,111038,False,False,21364345.23177901,21364345.232163344,21364345.234684493,21364345.23494334,21364345.235579822,21364345.235808797,21364345.24940637,21364345.251513574,21364345.25243532,21364345.25396654
agents=20:seed=6,6,exp3-seed-0006,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.027467221021652,3.7980861961841583,22.237662225961685,0.022237662225961685,0.3794729709625244,2.5118961930274963,0.2602674067020416,2.772163599729538,0.646449625492096,0.2293810248374939,0.8758306503295898,13.645358383655548,0.9091943502426147,3.65564227104187,3.635905683040619,30,54,32,110920,False,False,21364345.255171895,21364345.255551368,21364345.258063264,21364345.25832353,21364345.25896998,21364345.259199362,21364345.27284472,21364345.274961177,21364345.275877614,21364345.277409557
agents=20:seed=7,7,exp3-seed-0007,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.12517786026001,3.8903020322322845,23.820936679840088,0.023820936679840088,0.37898123264312744,2.5530606508255005,0.2602823078632355,2.813342958688736,0.6979778409004211,0.23487582802772522,0.9328536689281464,14.975741505622864,0.9325146675109863,3.787502646446228,3.768403083086014,30,59,32,121691,False,False,21364345.278620146,21364345.278999127,21364345.281552188,21364345.28181247,21364345.28251045,21364345.282745324,21364345.297721066,21364345.299911343,21364345.30085098,21364345.302441083
agents=20:seed=8,8,exp3-seed-0008,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.114910960197449,3.8789883255958557,24.32643249630928,0.02432643249630928,0.38293376564979553,2.5155581533908844,0.26541948318481445,2.780977636575699,0.7150769233703613,0.23592263460159302,0.9509995579719543,15.422657132148743,0.9363368153572083,3.8525275886058807,3.832794725894928,30,61,32,125981,False,False,21364345.303660568,21364345.3040435,21364345.30655906,21364345.30682448,21364345.307539556,21364345.30777548,21364345.323198136,21364345.325430293,21364345.326373708,21364345.327987
agents=20:seed=9,9,exp3-seed-0009,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.048492759466171,3.8179494440555573,22.278953343629837,0.022278953343629837,0.3801807761192322,2.5351978838443756,0.2640970051288605,2.799294888973236,0.638473778963089,0.230543315410614,0.869017094373703,13.645552098751068,0.9062513709068298,3.678657114505768,3.658939152956009,30,54,32,110844,False,False,21364345.329206914,21364345.329587094,21364345.332122292,21364345.33238639,21364345.333024863,21364345.333255406,21364345.34690096,21364345.349032562,21364345.34994634,21364345.351485867
agents=20:seed=10,10,exp3-seed-0010,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.036810249090195,3.8052648305892944,21.918393671512604,0.021918393671512604,0.378679484128952,2.5248639285564423,0.2608746290206909,2.785738557577133,0.6408467888832092,0.23154541850090027,0.8723922073841095,13.330042362213135,0.9037181735038757,3.6478228867053986,3.628198057413101,30,53,32,108761,False,False,21364345.352699287,21364345.353077967,21364345.35560283,21364345.355863705,21364345.356504552,21364345.356736097,21364345.37006614,21364345.372176673,21364345.37308782,21364345.37461768
agents=20:seed=11,11,exp3-seed-0011,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.084795713424683,3.8515403866767883,22.849008440971375,0.022849008440971375,0.38310885429382324,2.5463812053203583,0.2603791654109955,2.8067603707313538,0.6616711616516113,0.2332553267478943,0.8949264883995056,14.121975749731064,0.9218789637088776,3.7203580141067505,3.7006251513957977,30,56,32,115165,False,False,21364345.37582261,21364345.37620572,21364345.3787521,21364345.37901248,21364345.37967415,21364345.379907407,21364345.394029383,21364345.396182574,21364345.397112,21364345.39867162
agents=20:seed=12,12,exp3-seed-0012,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,3.9919279515743256,3.7653744220733643,21.05160802602768,0.02105160802602768,0.3841519355773926,2.530016005039215,0.2613663673400879,2.791382372379303,0.5898401141166687,0.2265535295009613,0.81639364361763,12.606397271156311,0.8789189159870148,3.574363887310028,3.5548843443393707,30,50,32,102358,False,False,21364345.399881992,21364345.400266144,21364345.40279616,21364345.403057527,21364345.403647367,21364345.40387392,21364345.416480318,21364345.418550488,21364345.419436663,21364345.4209336
agents=20:seed=13,13,exp3-seed-0013,in_memory_transactionally_verified_control_plane_simulation,in_memory_synthetic_business_edge_verifier,False,False,20,30,4,0.5,1,True,,4.102867096662521,3.867153078317642,23.79542961716652,0.02379542961716652,0.38243457674980164,2.5301873683929443,0.2607107162475586,2.790898084640503,0.6938204169273376,0.23571401834487915,0.9295344352722168,14.97495174407959,0.9315535426139832,3.786057233810425,3.7665441632270813,30,59,32,121572,False,False,21364345.422129262,21364345.422511697,21364345.425041884,21364345.425302595,21364345.425996415,21364345.42623213,21364345.44120708,21364345.44339672,21364345.44433567,21364345.44592469
