scenario,seed,comparison_method,scenario_fingerprint,proposed_minus_method_total_decision_latency_ms,proposed_minus_method_coordination_latency_ms,proposed_minus_method_qos_satisfied,proposed_minus_method_infeasible,proposed_minus_method_changed_rules,proposed_minus_method_control_bytes
application_capacity:pressure=0.6,25,no_verification,8389233003a0f7bdc67d8c8df50ebefc7ed037bf4a0c2bf72abff0ca809ad22f,4.579618573188782,4.320602864027023,0,0,0,0
application_capacity:pressure=0.6,26,independent,0f48d25f3e4cb99c3dedb662301faa1f56fc895788651dbb2cbf93dc1794d36d,24.88226443529129,4.947848618030548,0,0,0,0
application_capacity:pressure=0.6,26,adjacent,0f48d25f3e4cb99c3dedb662301faa1f56fc895788651dbb2cbf93dc1794d36d,24.62584525346756,4.766058176755905,0,0,0,0
application_capacity:pressure=0.6,26,no_verification,0f48d25f3e4cb99c3dedb662301faa1f56fc895788651dbb2cbf93dc1794d36d,24.366453289985657,4.427548497915268,0,0,0,0
application_capacity:pressure=0.6,27,independent,6e93a43db92d019a905386af5010f01ff358ef3fc49b2c034fabd78389b0fdff,4.805680364370346,4.82071191072464,0,0,0,0
application_capacity:pressure=0.6,27,adjacent,6e93a43db92d019a905386af5010f01ff358ef3fc49b2c034fabd78389b0fdff,4.65252622961998,4.6364739537239075,0,0,0,0
application_capacity:pressure=0.6,27,no_verification,6e93a43db92d019a905386af5010f01ff358ef3fc49b2c034fabd78389b0fdff,4.306584596633911,4.3030232191085815,0,0,0,0
application_capacity:pressure=0.6,28,independent,d3ffd53f6f9b33cc0ceb268181260b9cbe559a6358af3c6d19b832b5d9ac62bb,4.776034504175186,4.7624558210372925,0,0,0,0
application_capacity:pressure=0.6,28,adjacent,d3ffd53f6f9b33cc0ceb268181260b9cbe559a6358af3c6d19b832b5d9ac62bb,4.617463797330856,4.579443484544754,0,0,0,0
application_capacity:pressure=0.6,28,no_verification,d3ffd53f6f9b33cc0ceb268181260b9cbe559a6358af3c6d19b832b5d9ac62bb,4.226326942443848,4.2471811175346375,0,0,0,0
application_capacity:pressure=0.6,29,independent,f6f588843122dc975f2308666d855d8a1d11408d16bf7d87c5f2c01a86ee0c11,4.72399964928627,4.758559167385101,0,0,0,0
application_capacity:pressure=0.6,29,adjacent,f6f588843122dc975f2308666d855d8a1d11408d16bf7d87c5f2c01a86ee0c11,4.507910460233688,4.573535174131393,0,0,0,0
application_capacity:pressure=0.6,29,no_verification,f6f588843122dc975f2308666d855d8a1d11408d16bf7d87c5f2c01a86ee0c11,3.927849233150482,4.240881651639938,0,0,0,0
application_capacity:pressure=0.8,0,independent,0a7e18295c5745ee47fc67450034226aeaafb81c208cbccebfcef2fbf4bd08a8,4.695761948823929,4.832811653614044,0,0,0,0
application_capacity:pressure=0.8,0,adjacent,0a7e18295c5745ee47fc67450034226aeaafb81c208cbccebfcef2fbf4bd08a8,4.388652741909027,4.648875445127487,0,0,0,0
application_capacity:pressure=0.8,0,no_verification,0a7e18295c5745ee47fc67450034226aeaafb81c208cbccebfcef2fbf4bd08a8,4.176735877990723,4.3049827218055725,0,0,0,0
application_capacity:pressure=0.8,1,independent,6c470c372eba34b9659b6624c7a81d000b8ac1cfdc8ec8e73a77baa7f805ec52,4.686955362558365,4.7910138964653015,0,0,0,0
application_capacity:pressure=0.8,1,adjacent,6c470c372eba34b9659b6624c7a81d000b8ac1cfdc8ec8e73a77baa7f805ec52,4.49371337890625,4.604354500770569,0,0,0,0
application_capacity:pressure=0.8,1,no_verification,6c470c372eba34b9659b6624c7a81d000b8ac1cfdc8ec8e73a77baa7f805ec52,4.190340638160706,4.271414130926132,0,0,0,0
application_capacity:pressure=0.8,2,independent,6e3e77149890f2741854ab7395feeb088795abe4b18f74af4ec392cf4868b5b5,4.770718514919281,4.840843379497528,0,0,0,0
application_capacity:pressure=0.8,2,adjacent,6e3e77149890f2741854ab7395feeb088795abe4b18f74af4ec392cf4868b5b5,4.569113254547119,4.657074809074402,0,0,0,0
application_capacity:pressure=0.8,2,no_verification,6e3e77149890f2741854ab7395feeb088795abe4b18f74af4ec392cf4868b5b5,4.069335758686066,4.316128790378571,0,0,0,0
application_capacity:pressure=0.8,3,independent,adf8d83cffd3b9a4ccfcfac021457c6998b750dfd3a000b6b89221791846e8e3,4.780929535627365,4.773043096065521,0,0,0,0
application_capacity:pressure=0.8,3,adjacent,adf8d83cffd3b9a4ccfcfac021457c6998b750dfd3a000b6b89221791846e8e3,-12.07398995757103,4.585828632116318,0,0,0,0
application_capacity:pressure=0.8,3,no_verification,adf8d83cffd3b9a4ccfcfac021457c6998b750dfd3a000b6b89221791846e8e3,4.225663840770721,4.25291433930397,0,0,0,0
application_capacity:pressure=0.8,4,independent,6e284b28bdaf39c43189294ec89d8eaed7ff990b4d0605256a719f9147b3d993,4.799887537956238,4.806943237781525,0,0,0,0
application_capacity:pressure=0.8,4,adjacent,6e284b28bdaf39c43189294ec89d8eaed7ff990b4d0605256a719f9147b3d993,4.635866731405258,4.624597728252411,0,0,0,0
application_capacity:pressure=0.8,4,no_verification,6e284b28bdaf39c43189294ec89d8eaed7ff990b4d0605256a719f9147b3d993,4.296399652957916,4.290912300348282,0,0,0,0
application_capacity:pressure=0.8,5,independent,f555c72c65efa901ed1d025475f1b34ae191fb7370ca29ffffd5fd8f56b52955,5.0650835037231445,4.82114776968956,0,0,0,0
application_capacity:pressure=0.8,5,adjacent,f555c72c65efa901ed1d025475f1b34ae191fb7370ca29ffffd5fd8f56b52955,4.814706742763519,4.6323612332344055,0,0,0,0
application_capacity:pressure=0.8,5,no_verification,f555c72c65efa901ed1d025475f1b34ae191fb7370ca29ffffd5fd8f56b52955,4.295419901609421,4.293471574783325,0,0,0,0
application_capacity:pressure=0.8,6,independent,410cb4d7c8ff6c9a6c5aca69f769e7f7743abe03c6247430b148762ecdc8809c,4.691381007432938,4.740577191114426,0,0,0,0
application_capacity:pressure=0.8,6,adjacent,410cb4d7c8ff6c9a6c5aca69f769e7f7743abe03c6247430b148762ecdc8809c,4.470352083444595,4.556622356176376,0,0,0,0
