panel,bootstrap_iterations,ci_lower,ci_upper,cluster_count,denominator,experiment,mean,method_id,method_label,metric,mode,numerator,p50,p95,sample_count,series,x_name,x_value
a,5000,9.32725746127949,9.610180673887763,21,,exp3,9.477897000528845,proposed,Proposed,reconfiguration_latency_ms,paper,,9.508630725,10.1167113575,52,affected_agents,affected_agent_count,8.0
a,5000,9.547465534055817,9.759515474083937,28,,exp3,9.649228234278455,proposed,Proposed,reconfiguration_latency_ms,paper,,9.627889692708333,10.328377812916669,82,affected_agents,affected_agent_count,9.0
a,5000,9.79185897118808,10.042722689364833,22,,exp3,9.920769997566138,proposed,Proposed,reconfiguration_latency_ms,paper,,9.877360125000001,10.63260284125,63,affected_agents,affected_agent_count,10.0
a,5000,10.090646038794633,10.402850818843925,15,,exp3,10.249498763183759,proposed,Proposed,reconfiguration_latency_ms,paper,,10.19422832,11.00493428,39,affected_agents,affected_agent_count,11.0
a,5000,10.350942024233074,10.718132132375711,23,,exp3,10.525724214322917,proposed,Proposed,reconfiguration_latency_ms,paper,,10.524595408333333,11.339115721354167,56,affected_agents,affected_agent_count,12.0
a,5000,10.495020753695115,10.792689304784169,28,,exp3,10.64434782215196,proposed,Proposed,reconfiguration_latency_ms,paper,,10.707536118750001,11.400518832500001,85,affected_agents,affected_agent_count,13.0
a,5000,10.841971358152254,11.153952952808979,24,,exp3,11.00291425956913,proposed,Proposed,reconfiguration_latency_ms,paper,,11.006333366666667,11.768502250000001,88,affected_agents,affected_agent_count,14.0
a,5000,10.67498043927636,11.237892759144628,15,,exp3,10.941197889043211,proposed,Proposed,reconfiguration_latency_ms,paper,,10.850209575000001,11.827450625,27,affected_agents,affected_agent_count,15.0
b,5000,100.0,100.0,22,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,42,affected_agents,affected_agent_count,3.0
b,5000,100.0,100.0,21,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,41,affected_agents,affected_agent_count,4.0
b,5000,100.0,100.0,27,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,50,affected_agents,affected_agent_count,5.0
b,5000,100.0,100.0,23,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,55,affected_agents,affected_agent_count,6.0
b,5000,100.0,100.0,21,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,52,affected_agents,affected_agent_count,7.0
b,5000,100.0,100.0,21,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,52,affected_agents,affected_agent_count,8.0
b,5000,100.0,100.0,28,,exp3,100.0,full_rebuild,Full-Rebuild,rule_change_ratio_percent,paper,,100.0,100.0,82,affected_agents,affected_agent_count,9.0
